status	key	command
Composition	Option l	MoveCursorRight
Composition	Right	MoveCursorRight
Composition	Ctrl Down	MoveCursorToEnd
Composition	Ctrl f	MoveCursorToEnd
Composition	Ctrl n	MoveCursorToEnd
Composition	Ctrl Right	MoveCursorToEnd
Composition	Ctrl x	MoveCursorToEnd
Composition	Down	MoveCursorToEnd
Composition	End	MoveCursorToEnd
Composition	Left	MoveCursorLeft
Composition	Option h	MoveCursorLeft
Composition	Ctrl a	MoveCursorToBeginning
Composition	Ctrl e	MoveCursorToBeginning
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Ctrl Up	MoveCursorToBeginning
Composition	Home	MoveCursorToBeginning
Conversion	Backspace	Cancel
Conversion	Ctrl Backspace	Cancel
Conversion	Ctrl g	Cancel
Conversion	Ctrl h	Cancel
Composition	Ctrl z	Cancel
Conversion	Ctrl z	Cancel
Conversion	Delete	Cancel
Composition	ESC	Cancel
Conversion	ESC	Cancel
Conversion	Shift Backspace	Cancel
Composition	Shift ESC	Cancel
Conversion	Shift ESC	Cancel
Composition	Muhenkan	SwitchKanaType
Conversion	Muhenkan	SwitchKanaType
Composition	Hiragana	CompositionModeHiragana
Conversion	Hiragana	CompositionModeHiragana
Precomposition	Hiragana	CompositionModeHiragana
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	Ctrl g	Delete
Composition	Delete	Delete
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Composition	Ctrl Enter	Commit
Conversion	Ctrl Enter	Commit
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Enter	Commit
Conversion	Enter	Commit
Composition	VirtualEnter	Commit
Precomposition	Ctrl Backspace	Undo
Composition	F2	ConvertWithoutHistory
Precomposition	Space	InsertSpace
Composition	Backspace	Backspace
Composition	Ctrl Backspace	Backspace
Composition	Ctrl h	Backspace
Composition	Shift Backspace	Backspace
DirectInput	Henkan	Reconvert
Precomposition	Henkan	Reconvert
Precomposition	Backspace	Revert
Conversion	Ctrl Down	CommitOnlyFirstSegment
Conversion	Ctrl n	CommitOnlyFirstSegment
Conversion	VirtualEnter	CommitOnlyFirstSegment
Suggestion	Shift Enter	CommitFirstSuggestion
Precomposition	Muhenkan	CompositionModeSwitchKanaType
Conversion	PageDown	ConvertNextPage
Conversion	Shift Down	ConvertNextPage
Conversion	Ctrl x	ConvertNext
Conversion	Down	ConvertNext
Conversion	Henkan	ConvertNext
Conversion	Space	ConvertNext
Prediction	Ctrl Delete	DeleteSelectedCandidate
Conversion	PageUp	ConvertPrevPage
Conversion	Shift Up	ConvertPrevPage
Conversion	Ctrl e	ConvertPrev
Conversion	Ctrl Up	ConvertPrev
Conversion	Shift Henkan	ConvertPrev
Conversion	Shift Space	ConvertPrev
Conversion	Shift Tab	ConvertPrev
Conversion	Up	ConvertPrev
Composition	Katakana	CompositionModeFullKatakana
Conversion	Katakana	CompositionModeFullKatakana
Precomposition	Katakana	CompositionModeFullKatakana
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl p	ConvertToFullAlphanumeric
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Conversion	Shift Muhenkan	ConvertToFullAlphanumeric
Composition	Ctrl Shift Space	InsertFullSpace
Conversion	Ctrl Shift Space	InsertFullSpace
Precomposition	Ctrl Shift Space	InsertFullSpace
Precomposition	Shift Space	InsertAlternateSpace
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	Ctrl t	ConvertToHalfAlphanumeric
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	Ctrl Space	InsertHalfSpace
Conversion	Ctrl Space	InsertHalfSpace
Conversion	Ctrl d	SegmentFocusRight
Conversion	Right	SegmentFocusRight
Conversion	Ctrl f	SegmentFocusLast
Conversion	Ctrl Right	SegmentFocusLast
Conversion	End	SegmentFocusLast
Conversion	Ctrl s	SegmentFocusLeft
Conversion	Left	SegmentFocusLeft
Conversion	Ctrl a	SegmentFocusFirst
Conversion	Ctrl Left	SegmentFocusFirst
Conversion	Home	SegmentFocusFirst
Conversion	Shift Left	SegmentWidthShrink
Conversion	Shift Option h	SegmentWidthShrink
